2863662 |2008/12/30 19:49:56.600 | -4.63  | 100.89  |  23.4|GCMT|GCMT|,C200812301949A|MW,5.9|SOUTHWEST OF SUMATRA, INDONESIA
2863525 |2008/12/29 03:37:43.100 | 36.48  |  70.91  | 154.7|GCMT|GCMT|,C200812290337A|MW,5.8|HINDU KUSH REGION, AFGHANISTAN
2863245 |2008/12/25 22:40:26.500 | 23.22  |  64.36  |  12  |GCMT|GCMT|,C200812252240A|MW,5.8|OFF COAST OF PAKISTAN
2863186 |2008/12/25 08:11:59.800 | 48.78  |-129.06  |  12  |GCMT|GCMT|,C200812250811A|MW,5.8|VANCOUVER ISLAND, CANADA REGION
2863172 |2008/12/25 03:20:30.200 |  5.74  | 125.66  | 198.3|GCMT|GCMT|,C200812250320A|MW,6.3|MINDANAO, PHILIPPINES
2863163 |2008/12/25 00:10:51.000 |-18.31  | 176.73  |  12  |GCMT|GCMT|,C200812250010A|MW,5.5|FIJI ISLANDS REGION
2863103 |2008/12/24 09:11:38.900 |-17.31  |-171.59  |  12  |GCMT|GCMT|,C200812240911A|MW,6.0|TONGA ISLANDS REGION
2862995 |2008/12/23 11:15:25.300 | -6.67  | 154.8   |  45.4|GCMT|GCMT|,C200812231115A|MW,5.9|SOLOMON ISLANDS
2862831 |2008/12/21 09:16:49.000 | 36.63  | 142.41  |  12  |GCMT|GCMT|,C200812210916A|MW,5.9|OFF EAST COAST OF HONSHU, JAPAN
2862779 |2008/12/20 21:05:22.400 |-31.23  | -13.27  |  12  |GCMT|GCMT|,C200812202105A|MW,5.8|SOUTHERN MID-ATLANTIC RIDGE
2862764 |2008/12/20 17:44:47.800 | -2.65  | 139.01  |  31.2|GCMT|GCMT|,C200812201744A|MW,5.5|NEAR NORTH COAST OF IRIAN JAYA
2862752 |2008/12/20 15:43:06.700 |  8.89  | 126.84  |  20.6|GCMT|GCMT|,C200812201543A|MW,5.6|MINDANAO, PHILIPPINES
2862724 |2008/12/20 10:29:29.200 | 36.56  | 142.54  |  12  |GCMT|GCMT|,C200812201029A|MW,6.3|OFF EAST COAST OF HONSHU, JAPAN
2862643 |2008/12/19 09:36:08.800 |-32.56  | -72.1   |  23.1|GCMT|GCMT|,C200812190936A|MW,5.7|OFF COAST OF CENTRAL CHILE
2862639 |2008/12/19 08:31:55.500 | 46.92  | -27.13  |  12  |GCMT|GCMT|,C200812190831A|MW,5.9|NORTHERN MID-ATLANTIC RIDGE
2862585 |2008/12/18 21:50:34.000 |-32.62  | -72.11  |  20.7|GCMT|GCMT|,C200812182150A|MW,5.9|OFF COAST OF CENTRAL CHILE
2862577 |2008/12/18 21:19:33.600 |-32.63  | -72.13  |  22.5|GCMT|GCMT|,C200812182119A|MW,6.1|OFF COAST OF CENTRAL CHILE
2862575 |2008/12/18 20:57:40.700 |-23.84  |-179.65  | 562.4|GCMT|GCMT|,B200812182057A|MW,5.6|SOUTH OF FIJI ISLANDS
2862473 |2008/12/17 10:56:02.600 |-17.77  |-178.3   | 547.8|GCMT|GCMT|,C200812171055A|MW,5.8|FIJI ISLANDS REGION
2862293 |2008/12/14 20:36:32.100 |-60.37  | -18.44  |  12  |GCMT|GCMT|,C200812142036A|MW,5.5|EAST OF SOUTH SANDWICH ISLANDS
2862221 |2008/12/13 22:37:25.100 |-14.26  | 166.59  |  22.2|GCMT|GCMT|,C200812132237A|MW,5.6|VANUATU ISLANDS
2862180 |2008/12/13 08:45:37.100 |-49.12  | 123.86  |  12  |GCMT|GCMT|,C200812130845A|MW,5.9|WESTERN INDIAN-ANTARCTIC RIDGE
2862089 |2008/12/11 21:40:54.000 |  0.0   | 123.64  | 134.9|GCMT|GCMT|,C200812112140A|MW,5.9|MINAHASSA PENINSULA, SULAWESI
2862070 |2008/12/11 17:06:11.000 | -3.94  | 100.42  |  16  |GCMT|GCMT|,C200812111706A|MW,5.7|SOUTHERN SUMATRA, INDONESIA
2862003 |2008/12/10 13:15:39.200 |-12.33  | 166.32  |  67.2|GCMT|GCMT|,C200812101315A|MW,6.0|SANTA CRUZ ISLANDS
2861962 |2008/12/09 22:52:39.300 | 30.33  |  67.51  |  15.9|GCMT|GCMT|,C200812092252A|MW,5.7|PAKISTAN
2861950 |2008/12/09 18:51:15.900 |-20.89  |-178.62  | 607.4|GCMT|GCMT|,B200812091851A|MW,5.7|FIJI ISLANDS REGION
2861937 |2008/12/09 17:29:01.900 |-15.98  | 168.04  | 236.7|GCMT|GCMT|,C200812091728A|MW,6.0|VANUATU ISLANDS
2861928 |2008/12/09 15:31:53.200 | -2.82  | 139.39  |  23  |GCMT|GCMT|,C200812091531A|MW,5.7|NEAR NORTH COAST OF IRIAN JAYA
2861889 |2008/12/09 06:24:07.000 |-31.03  |-176.54  |  18.8|GCMT|GCMT|,C200812090624A|MW,6.7|KERMADEC ISLANDS REGION
2861858 |2008/12/08 18:39:15.800 |-53.09  | 106.76  |  20.8|GCMT|GCMT|,C200812081839A|MW,6.3|SOUTHEAST INDIAN RIDGE
2861806 |2008/12/08 01:51:05.000 | 13.51  | -44.82  |  12  |GCMT|GCMT|,C200812080151A|MW,5.5|NORTHERN MID-ATLANTIC RIDGE
2861738 |2008/12/07 06:23:12.800 | 13.44  | -44.83  |  12  |GCMT|GCMT|,C200812070623A|MW,5.6|NORTHERN MID-ATLANTIC RIDGE
